exercise_name,met_value,target_areas,primary_muscles,secondary_muscles,description,exercise_id,instructions_ko
플랭크,3.8,코어;전신,횡복근;복직근,대둔근;전거근;척추기립근,정적 버티기로 전신 코어 안정성 강화,VBAWRPG,"바닥에 엎드려 팔꿈치를 어깨 바로 아래에 둡니다.|다리를 뒤로 곧게 뻗어 발끝으로 바닥을 지지합니다.|코어에 힘을 주고 팔뚝과 발끝으로 균형을 잡으며 몸을 들어 올립니다.|머리부터 발뒤꿈치까지 몸이 일직선을 유지하도록 합니다.|원하는 시간만큼 자세를 유지합니다."
버피 테스트,8.0,전신,대퇴사두근;대둔근;대흉근,삼두근;전면 삼각근;복직근,전신 유산소성 근력 운동으로 칼로리 소모가 큼,dK9394r,"발을 어깨너비로 벌리고 선 자세에서 시작합니다.|무릎을 굽히고 손을 바닥에 짚으며 스쿼트 자세로 몸을 낮춥니다.|양발을 뒤로 차서 푸시업 자세를 만듭니다.|몸을 일직선으로 유지하며 푸시업을 1회 실시합니다.|점프하여 양발을 다시 스쿼트 자세로 가져옵니다.|팔을 머리 위로 뻗으며 폭발적으로 점프합니다.|부드럽게 착지한 후, 즉시 스쿼트 자세로 낮추어 다음 반복을 시작합니다."
턱걸이,8.0,등;이두,광배근;이두근,능형근;후면 삼각근;승모근,수직 당기기 패턴으로 등 상부와 팔을 강화,T2mxWqc,"손바닥이 자신을 향하도록 하여 어깨너비로 풀업 바를 잡고 매달립니다. (이것은 '친업' 그립입니다.)|코어에 힘을 주고, 가슴을 바로 이끈다는 느낌으로 몸을 바 위로 당겨 올립니다.|턱이 바 위로 올라갈 때까지 계속 당깁니다.|가장 높은 지점에서 잠시 멈춘 후, 천천히 몸을 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
딥스,5.5,가슴;삼두;어깨,삼두근;대흉근 하부,전면 삼각근,평행봉을 활용한 상체 수직 밀기 동작,LkoAWAE,"벤치나 의자 가장자리에 앉아, 엉덩이 옆쪽의 모서리를 손으로 잡습니다.|엉덩이를 벤치에서 앞으로 밀어내고, 다리를 곧게 펴서 발뒤꿈치를 바닥에 댑니다.|등을 벤치에 가깝게 유지한 채, 팔꿈치를 굽혀 몸을 바닥 쪽으로 낮춥니다.|가장 낮은 지점에서 잠시 멈춘 후, 손으로 바닥을 밀어 팔을 펴고 몸을 다시 시작 자세로 들어 올립니다.|원하는 횟수만큼 반복합니다."
벤치 프레스,5.0,가슴;어깨;삼두,대흉근,삼두근;전면 삼각근,바벨로 수평 밀기 패턴의 대표 근력 운동,SpYC0Kp,"등을 벤치에 대고 누워, 발바닥은 바닥에 평평하게 붙입니다.|양손에 덤벨을 하나씩 들고, 손바닥이 앞을 향하게 하여 가슴 위로 팔을 뻗습니다.|팔꿈치를 90도 각도로 유지하며, 덤벨을 가슴 양옆으로 천천히 내립니다.|잠시 멈춘 후, 다시 덤벨을 시작 위치로 밀어 올리며 팔을 완전히 폅니다.|원하는 횟수만큼 반복합니다."
덤벨 숄더프레스,5.5,어깨;삼두,삼각근,삼두근;승모근,좌우 독립 가동으로 어깨 안정성 강화,Xy4jlWA,"등받이가 있는 벤치에 앉아, 양손에 덤벨을 들고 어깨 높이로 올립니다.|손바닥은 앞을 향하게 하고, 팔꿈치는 90도 각도로 굽힙니다.|코어에 힘을 주고, 덤벨을 머리 위로 팔이 완전히 펴질 때까지 들어 올립니다.|가장 높은 지점에서 잠시 멈춥니다.|천천히 덤벨을 시작 자세로 내립니다.|원하는 횟수만큼 반복합니다."
벤트 오버 바벨 로우,5.5,등;이두,광배근;능형근,후면 삼각근;이두근;척추기립근,힌지 자세에서 바벨을 당기는 수평 당기기 패턴,ZX9UZmj,"바닥에 놓인 바벨 앞에 서서, 발을 어깨너비로 벌립니다.|무릎을 약간 굽히고 등을 곧게 편 상태에서, 상체가 바닥과 거의 평행이 될 때까지 엉덩이를 축으로 상체를 숙입니다.|어깨너비보다 약간 넓게, 손등이 위로 향하는 오버핸드 그립으로 바벨을 잡습니다.|코어에 힘을 주고 등을 계속 곧게 유지합니다.|견갑골(어깨뼈)을 함께 조이면서, 바벨을 하복부 쪽으로 당겨 올립니다.|가장 높은 지점에서 잠시 멈춘 후, 천천히 바벨을 시작 위치로 내립니다.|원하는 횟수만큼 반복합니다."
데드리프트,8.0,전신;등;하체,대둔근;대퇴이두근;척추기립근,광배근;승모근;전완근,전신 후면사슬을 사용하는 대표적인 힌지 패턴,nUwVh7b,"발을 어깨너비로 벌리고 발끝이 정면을 향하도록 섭니다.|양손에 덤벨을 하나씩 들고, 손바닥이 몸을 향하도록 하여 팔을 아래로 뻗습니다.|등을 곧게 편 상태를 유지하며, 엉덩이와 무릎을 굽혀 덤벨을 바닥 쪽으로 내립니다.|발뒤꿈치로 바닥을 밀면서 엉덩이와 무릎을 펴고, 덤벨을 들어 올려 시작 자세로 돌아옵니다.|원하는 횟수만큼 반복합니다."
제자리 뛰기,5.5,전신,대퇴사두근;비복근,복직근,간단한 제자리 유산소 운동으로 순발력과 심폐 기능 향상,temp_jumping_in_place,"선 자세에서 가볍게 무릎을 굽힙니다.|발 앞부분으로 바닥을 밀며 위로 점프합니다.|팔은 자연스럽게 흔들어 리듬을 맞춥니다.|발 앞부분으로 부드럽게 착지하며, 충격을 흡수합니다.|원하는 시간 또는 횟수만큼 반복합니다."
마운틴 클라이머,7.0,전신;코어,복직근;외복사근;장요근,전면 삼각근;삼두근;대퇴사두근,전신 동적 버티기와 무릎 드라이브로 코어 자극 증가,RJgzwny,"손을 어깨 바로 아래에 두고, 몸을 일직선으로 만들어 하이 플랭크 자세로 시작합니다.|코어에 힘을 주고 오른쪽 무릎을 가슴 쪽으로 당긴 후, 재빨리 왼쪽 무릎을 가슴 쪽으로 당기며 교차합니다.|엉덩이를 낮게 유지하고 코어에 힘을 준 상태에서, 달리는 느낌으로 다리를 계속 번갈아 움직입니다.|운동 내내 일정한 속도를 유지하고 고르게 호흡합니다.|원하는 횟수만큼 반복합니다."
줄넘기,9.0,전신,비복근;가자미근,대퇴사두근;삼각근;전완근,리듬과 호흡 조절을 통한 고강도 유산소 운동,e1e76I2,"줄넘기 손잡이를 잡고, 손바닥이 안쪽을 향하게 합니다.|발을 어깨너비로 벌리고 무릎을 살짝 굽힌 채 섭니다.|줄을 머리 위로 휘둘러 발 쪽으로 올 때 점프하여 넘습니다.|발 앞부분으로 부드럽게 착지하고, 줄이 다시 돌아올 때 점프를 반복합니다.|원하는 시간 또는 횟수만큼 계속 점프합니다."
계단 오르기,8.0,하체;심폐지구력,대퇴사두근;대둔근;비복근,대퇴이두근,실제 생활 동작 기반의 하체 강화와 심폐 향상,temp_stair_climbing,"계단 앞에 서서 몸을 곧게 세웁니다.|한 발을 계단 위에 올리고, 발 전체로 계단을 밟습니다.|계단 위에 올린 발에 힘을 주어 몸을 들어 올립니다.|다른 발을 다음 계단 위에 올리거나, 같은 계단에 올린 후 반복합니다.|팔은 자연스럽게 흔들어 균형을 잡습니다.|원하는 시간 또는 층수만큼 반복합니다."
스트레칭,2.5,전신,전신,,유연성과 회복을 위한 저강도 동작들의 모음,uOV3Itw,"운동 전후 또는 몸이 뻣뻣하다고 느껴질 때 스트레칭을 합니다.|각 스트레칭 동작을 15-30초간 유지하며, 해당 근육이 부드럽게 늘어나는 것을 느낍니다.|목, 어깨, 팔, 등, 허리, 다리 등 주요 근육군을 골고루 스트레칭합니다.|무리하게 당기지 않고, 통증이 느껴지지 않는 범위 내에서 진행합니다.|좌우 균형을 맞춰 양쪽 모두 동일하게 스트레칭합니다."
폼롤러,3.0,전신,전신,,근막 이완과 회복을 돕는 자가 마사지 ,temp_foam_roller,"폼롤러를 사용하여 특정 근육 부위를 마사지합니다.|폼롤러 위에 몸을 대고, 체중을 이용하여 천천히 앞뒤로 움직입니다.|통증이 느껴지는 부위에서 잠시 멈추어 압력을 가합니다.|등, 허벅지, 종아리, 엉덩이 등 주요 근육군을 폼롤러로 풀어줍니다.|각 부위별로 30초에서 1분 정도 마사지합니다."
제자리 뛰기,5.5,전신,대퇴사두근;어깨;코어,비복근;전완근,팔다리 동시 움직임으로 전신 유산소 및 협응성 향상,jumping_jack_id,"발을 모으고 팔을 몸 양옆에 놓고 선 자세에서 시작합니다.|점프하며 발을 어깨 너비보다 넓게 벌리고 동시에 팔을 머리 위로 올립니다.|다시 점프하며 발을 모으고 팔을 몸 양옆으로 내려 시작 자세로 돌아옵니다.|리듬감 있게 팔과 다리를 동시에 움직이며 반복합니다.|가볍게 발끝으로 착지하고 자연스럽게 호흡합니다.|원하는 시간 또는 횟수만큼 반복합니다."
월 시트(Wall Sit),4.0,하체;코어,대퇴사두근;대둔근,복직근;척추기립근,벽을 이용한 정적 하체 강화 운동,wall_sit_id,"등을 벽에 대고 서서 발을 어깨너비로 벌립니다.|벽을 따라 몸을 아래로 밀어 내리며 무릎을 90도로 굽힙니다.|허벅지가 바닥과 평행이 되도록 하고 등은 벽에 밀착시킵니다.|무릎이 발끝보다 앞으로 나가지 않도록 주의합니다.|복부에 힘을 주고 자세를 유지합니다.|원하는 시간만큼 자세를 유지한 후 천천히 일어납니다."
하이 니(High Knees),6.5,하체;심폐지구력,대퇴사두근;장요근;비복근,복직근;전면 삼각근,제자리에서 무릎을 높이 들어올리는 유산소 운동,high_knees_id,"제자리에 서서 팔을 몸 앞쪽으로 90도 각도로 굽힙니다.|오른쪽 무릎을 가슴 높이까지 들어 올립니다.|빠르게 왼쪽 무릎을 들어 올리며 오른쪽 발은 바닥에 내려놓습니다.|마치 제자리에서 달리는 것처럼 무릎을 번갈아 들어 올립니다.|팔은 달리는 것처럼 자연스럽게 흔들어 줍니다.|빠른 템포로 원하는 시간만큼 계속 반복합니다."
버트 킥(Butt Kicks),5.5,하체;심폐지구력,대퇴이두근;비복근,대퇴사두근;복직근,발뒤꿈치가 엉덩이에 닿도록 하는 유산소 운동,butt_kicks_id,"제자리에 서서 팔을 달리는 자세로 준비합니다.|오른발 뒤꿈치를 엉덩이 쪽으로 차 올립니다.|빠르게 왼발 뒤꿈치를 엉덩이 쪽으로 차 올리며 오른발을 내려놓습니다.|마치 제자리에서 달리는 것처럼 발뒤꿈치를 번갈아 차 올립니다.|팔은 달리는 것처럼 자연스럽게 흔들어 줍니다.|빠른 템포로 원하는 시간만큼 계속 반복합니다."
베어 크롤(Bear Crawl),5.0,전신;코어,복직근;전면 삼각근;삼두근,척추기립근;대둔근;대퇴사두근,네발 기기로 전신 코어 안정성과 협응성 강화,bear_crawl_id,"손과 발로 바닥을 지지하며 무릎은 바닥에서 약간 떨어뜨린 자세로 시작합니다.|무릎을 90도로 굽히고 등을 평평하게 유지합니다.|오른손과 왼발을 동시에 앞으로 이동시킵니다.|이어서 왼손과 오른발을 동시에 앞으로 이동시킵니다.|무릎이 바닥에 닿지 않도록 하며 천천히 앞으로 이동합니다.|복부에 힘을 주어 엉덩이가 올라가지 않도록 유지합니다.|원하는 거리나 시간만큼 반복합니다."
크랩 워크(Crab Walk),4.5,상체;코어,삼두근;후면 삼각근,복직근;대둔근;대퇴이두근,게처럼 기어다니며 후면 근육과 코어를 강화,crab_walk_id,"바닥에 앉아서 무릎을 굽히고 손을 엉덩이 뒤쪽 바닥에 놓습니다.|손과 발로 바닥을 밀어 엉덩이를 들어 올립니다.|오른손과 왼발을 동시에 뒤쪽으로 이동시킵니다.|이어서 왼손과 오른발을 동시에 뒤쪽으로 이동시킵니다.|엉덩이가 바닥에 닿지 않도록 유지하며 뒤쪽으로 이동합니다.|목을 자연스럽게 펴고 시선은 천장을 향합니다.|원하는 거리나 시간만큼 반복합니다."
인치웜(Inchworm),6.0,전신;코어,복직근;전면 삼각근;삼두근,대퇴이두근;척추기립근,지렌이처럼 움직이며 전신 유연성과 근력 향상,inchworm_id,"발을 어깨너비로 벌리고 서서 시작합니다.|상체를 앞으로 숙여 손이 바닥에 닿도록 합니다.|손을 번갈아가며 앞으로 걸어 나가 플랭크 자세를 만듭니다.|플랭크 자세에서 잠시 멈춘 후 다시 손을 뒤로 걸어와 시작 자세로 돌아옵니다.|또는 발을 손 쪽으로 조금씩 걸어와 시작 자세로 돌아옵니다.|등을 둥글게 굽히지 않도록 주의하며 유연하게 움직입니다.|원하는 횟수만큼 반복합니다."
사이드 플랭크,4.5,코어;전신,외복사근;복직근;횡복근,전면 삼각근;중간 삼각근;대둔근,옆으로 누워 코어 측면 근육을 집중 강화,side_plank_id,"옆으로 누워 아래쪽 팔꿈치를 어깨 바로 아래에 놓습니다.|다리를 곧게 펴고 발을 포개어 놓습니다.|코어에 힘을 주어 엉덩이를 들어 올려 몸이 일직선이 되도록 합니다.|위쪽 팔은 허리에 올리거나 천장을 향해 뻗습니다.|목을 자연스럽게 펴고 호흡을 유지합니다.|원하는 시간만큼 자세를 유지한 후 반대쪽도 동일하게 실시합니다."
수퍼맨(Superman),3.5,등;둔근;코어,척추기립근;대둔근;대퇴이두근,후면 삼각근;승모근,엎드려서 척추 기립근과 후면 근육을 강화,superman_id,"바닥에 엎드려 팔을 앞으로 뻗고 다리는 곧게 폅니다.|복부를 바닥에 대고 이마는 살짝 들어 올립니다.|동시에 팔과 다리를 바닥에서 들어 올립니다.|등 근육의 수축을 느끼며 2-3초간 자세를 유지합니다.|천천히 팔과 다리를 바닥으로 내려 시작 자세로 돌아옵니다.|목에 무리가 가지 않도록 주의하며 반복합니다.|원하는 횟수만큼 반복합니다."
